Dec 23 07:55:08 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:55:08 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:55:08 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:55:10 localhost app-9: [ClamClient] <TCP105218289811166> WARN  <UTThread-11522>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:55:10 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:55:10 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:55:10 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:55:10 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:55:10 localhost app-9: [ClamClient] <TCP105218289811166> WARN  <UTThread-11523>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:55:10 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:55:10 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:55:10 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:55:10 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:55:12 localhost app-9: [ClamClient] <TCP105218289811166> WARN  <UTThread-11524>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:55:12 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:55:12 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:55:12 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:55:12 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814372> WARN  <UTThread-11525>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814375> WARN  <UTThread-11526>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814378> WARN  <UTThread-11527>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814380> WARN  <UTThread-11528>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814378> WARN  <UTThread-11529>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814382> WARN  <UTThread-11530>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814384> WARN  <UTThread-11531>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814385> WARN  <UTThread-11532>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814384> WARN  <UTThread-11533>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:05 localhost app-9: [ClamClient] <TCP105218289814386> WARN  <UTThread-11534>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:05 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:05 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:05 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:05 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:14 localhost app-9: [ClamClient] <TCP105218289814459> WARN  <UTThread-11535>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:14 localhost app-9: [ClamClient] <TCP105218289814461> WARN  <UTThread-11536>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:16 localhost app-9: [ClamClient] <TCP105218289814470> WARN  <UTThread-11537>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:16 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:16 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:16 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:16 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:04:17 localhost app-9: [ClamClient] <TCP105218289814461> WARN  <UTThread-11538>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:04:17 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:04:17 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 08:04:17 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 08:04:17 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 08:26:19 localhost app-9: [ClamClient] <TCP105218289822178> WARN  <UTThread-11539>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 08:26:19 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 08:26:19 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
