Nov 26 08:28:11 localhost app-6: [HttpParserEventHandler] <TCP105218281338617> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:56023 -> 68.67.161.182:80]
Nov 26 09:34:16 localhost app-6: [HttpParserEventHandler] <TCP105218281366778> INFO  Protocol parse exception (invalid request method). Releasing session: [6 : 192.168.1.182:33996 -> 75.126.41.226:80]
Nov 26 11:13:03 localhost app-6: [HttpParserEventHandler] <TCP105218281411424> WARN  endSession in CONTENT_LENGTH_BODY_STATE, length: 3109
Nov 26 11:36:39 localhost app-6: [HttpParserEventHandler] <TCP105218281422964> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:62188 -> 68.67.161.207:80]
Nov 26 11:38:12 localhost app-6: [HttpParserEventHandler] <TCP105218281424016> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:62506 -> 68.67.161.207:80]
Nov 26 11:39:49 localhost app-6: [HttpParserEventHandler] <TCP105218281425004> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:62661 -> 68.67.161.182:80]
Nov 26 11:42:39 localhost app-6: [HttpParserEventHandler] <TCP105218281426295> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:62856 -> 68.67.161.182:80]
Nov 26 12:20:56 localhost app-6: [HttpParserEventHandler] <TCP105218281445587> WARN  endSession in CONTENT_LENGTH_BODY_STATE, length: 12897
Nov 26 17:44:33 localhost app-6: [HttpParserEventHandler] <TCP105218281580208> WARN  endSession in CONTENT_LENGTH_BODY_STATE, length: 892
Nov 27 06:55:02 localhost app-6: [HttpParserEventHandler] <TCP105218281681304> INFO  Protocol parse exception (invalid request method). Releasing session: [6 : 192.168.1.137:41888 -> 35.190.245.57:80]
Nov 27 07:45:20 localhost app-6: [RequestLine] <TCP105218281697530> WARN  ignoring bad uri: 216.115.218.197:443
Nov 27 07:45:20 localhost app-6: [RequestLine] <TCP105218281697533> WARN  ignoring bad uri: 216.115.218.197:443
Nov 27 08:55:42 localhost app-6: [HttpParserEventHandler] <TCP105218281724826> WARN  endSession in CHUNK_LENGTH_STATE
Nov 27 10:52:07 localhost app-6: [HttpParserEventHandler] <TCP105218281773052> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:59069 -> 68.67.161.208:80]
Nov 27 11:07:18 localhost app-6: [RequestLine] <TCP105218281779540> WARN  ignoring bad uri: 216.115.218.197:443
Nov 27 11:07:19 localhost app-6: [RequestLine] <TCP105218281779544> WARN  ignoring bad uri: 216.115.218.197:443
Nov 27 11:20:17 localhost app-6: [HttpParserEventHandler] <TCP105218281784802> INFO  Protocol parse exception (request length exceeded). Releasing session: [6 : 192.168.1.143:62573 -> 104.244.39.20:80]
Nov 27 11:20:28 localhost app-6: [HttpParserEventHandler] <TCP105218281784799> INFO  Protocol parse exception (request length exceeded). Releasing session: [6 : 192.168.1.143:62571 -> 104.244.39.20:80]
Nov 27 11:20:41 localhost app-6: [HttpParserEventHandler] <TCP105218281784801> INFO  Protocol parse exception (request length exceeded). Releasing session: [6 : 192.168.1.143:62572 -> 104.244.39.20:80]
Nov 27 11:20:41 localhost app-6: [HttpParserEventHandler] <TCP105218281784913> INFO  Protocol parse exception (request length exceeded). Releasing session: [6 : 192.168.1.143:62566 -> 104.244.39.20:80]
Nov 27 11:20:45 localhost app-6: [HttpParserEventHandler] <TCP105218281784910> INFO  Protocol parse exception (request length exceeded). Releasing session: [6 : 192.168.1.143:62565 -> 104.244.39.20:80]
